,subclass,details
471,20122," Manufacture of straight mixed, compound or complex inorganic fertilizers"
472,20123," Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
473,20129, Manufacture of other fertilizers n.e.c.
474,20131," Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
475,20132, Manufacture of synthetic rubber in primary forms
476,20133, Manufacture of mixture of synthetic and natural or rubber like gums
477,20203," Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
478,20211," Manufacture of insecticides, rodenticides, fungicides, herbicides"
479,20212, Manufacture of disinfectants (for agricultural and other use)
480,20213," Manufacture of anti-sprouting products, plant growth regulators"
481,20219, Manufacture of other agrochemical products n.e.c.
482,20221," Manufacture of paints and varnishes, enamels or lacquers"
483,20222," Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
484,20223, Manufacture of printing ink
485,20224, Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
486,20229," Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
487,20231, Manufacture of soap all forms
488,20232," Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these)"
489,20233, Manufacture of detergent and similar washing agents excluding soap
490,20234, Manufacture of perfumes and cologne de-eau
491,20235," Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)"
492,20236," Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)"
493,20237," Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)"
494,20238, Manufacture of â€œagarbattiâ€� and other preparations which operate by burning
495,20239, Manufacture of other perfumes and toilet preparations n.e.c.
496,20291, Manufacture of matches
497,20292," Manufacture of explosives, ammunition and fire works"
498,20293," Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)"
499,20294," Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses"
500,20295," Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives"
501,20296, Manufacture of chemical elements and compounds doped for use in electronics
502,20297," Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
503,20299," Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
504,20301, Manufacture of synthetic or artificial filament tow
505,20302, Manufacture of synthetic or artificial filament staple fibre not textured
506,20304, Manufacture of synthetic or artificial mono-filament or strip meDiCinal ChemiCal anD botaniCal proDuCtS
507,21001," Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc."
508,21002, Manufacture of allopathic pharmaceutical preparations
509,21003, Manufacture of `ayurvedicâ€™ or `unaniâ€™ pharmaceutical preparation
510,21004, Manufacture of homoeopathic or biochemic pharmaceutical preparations
511,21005, Manufacture of veterinary preparations
512,21006," Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc."
513,21009, Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.
514,22111," Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft"
515,22112, Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
516,22113, Retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres
517,22119, Manufacture of rubber tyres and tubes n.e.c.
518,22191," Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
519,22192, Manufacture of rubber conveyor or transmission belts or belting
520,22193, Manufacture of rubber contraceptives
521,22194, Manufacture of rubber balloons
522,22199, Manufacture of other rubber products n.e.c.
523,22201," Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)"
524,22202," Manufacture of tableware, kitchenware and other household articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels"
525,22203," Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)"
526,22204," Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary-ware of plastics"
527,22205," Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles)"
528,22206, Manufacture of spectacle frames of plastic
529,22207, Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of plastics]
530,22208, Manufacture of polymer/ synthetic / PVC water storage tanks
531,22209, Manufacture of other plastics products n.e.c.
532,23101," Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass"
533,23102," Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products"
534,23103," Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
535,23104, Manufacture of laboratory or pharmaceutical glassware
536,23105, Manufacture of table or kitchen glassware
537,23106, Manufacture of glass bangles
538,23107, Manufacture of glass decoration pieces and glassware used in imitation jewellery
539,23109," Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c."
540,23911," Manufacture of refractory mortars, concretes etc."
541,23912," Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
542,23913, Manufacture of refractory ceramic products
543,23919, Manufacture of other refractory articles n.e.c.
544,23921, Manufacture of bricks
545,23922," Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc."
546,23923," Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings"
547,23929, Manufacture of other clay building materials
548,23931," Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues"
549,23932, Manufacture of ceramic tableware and other domestic or toilet articles
550,23933, Manufacture of statuettes and other ornamental ceramic articles
551,23934, Manufacture of electrical insulators and insulating fittings of ceramics
552,23935," Manufacture of ceramic laboratory, chemical and industrial products"
553,23939, Manufacture of ceramic products n.e.c.
554,23941, Manufacture of clinkers and cement
555,23942," Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
556,23943, Manufacture of asbestos cement
557,23944," Manufacture ofquicklime,slakedlimeandhydrauliclime(excluding chewing lime)"
558,23945, Manufacture of plasters of calcined gypsum or calcined sulphate
559,23949, Manufacture of other cement and plaster n.e.c.
560,23951, Manufacture of plaster statues and other plaster products
561,23952," Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
562,23953, Manufacture of asbestos sheets
563,23954, Manufacture of R.C.C. bricks and blocks
564,23955, Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
565,23956," Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
566,23959, Manufacture of other cement and asbestos cement products n.e.c.
567,23960," Cutting, shaping and finishing of stone"
568,23991, Manufacture of worked mica and mica products
569,23992, Manufacture of gypsum boards
570,23993," Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
571,23994, Manufacture of graphite products other than electrical articles
572,23999," Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o felt; friction material with a basis of asbestos or other mineral substances or of cellulose including unmounted articles such as friction material; mineral insulating material (slag wool, rockwool and similar mineral wools, exfoliated vermiculite, expanded clays and similar insulating material); products of glass wool for heat-insulating; articles of asphalt or of similar material (e.g. coal tar pitch), gypsum and articles of other mineral substances)"
573,24101," Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms"
574,24102, Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products
575,24103," Manufacture of steel in ingots or other primary forms, and other semi- finished products of steel"
576,24104, Manufacture of ferro-alloys
577,24105, Manufacture of hot-rolled and cold-rolled products of steel
578,24106, Manufacture of tube and tube fittings of basic iron and steel
579,24107, Manufacture of railway track materials (unassembled rails) of steel
580,24108, Manufacture of wire of steel by cold drawing or stretching
581,24109, Manufacture of other basic iron and steel n.e.c
582,24201," Manufacture of Copper from ore, and other copper products and alloys"
583,24202, Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys
584,24203," Manufacturing of lead, zinc and tin products and alloys"
585,24204," Manufacturing of chrome, manganese and nickel products alloys"
586,24205," Production and refining of precious metals (such as gold, silver platinum etc.) and alloys"
587,24209, Manufacture of other non-ferrous metals n.e.c.
588,24311," Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel"
589,24319, Manufacture of other iron and steel casting and products thereof
590,24320, Casting of non-ferrous metals
591,25111," Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
592,25112," Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)"
593,25113," Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)"
594,25119, Manufacture of other structural metal products
595,25121, Manufacture of metal containers for compressed or liquefied gas
596,25122," Manufacture of metal reservoirs, tanks and similar containers"
597,25123, Manufacture of central heating boilers and radiators and parts and accessories thereof
598,25129, Manufacture of other containers n.e.c.
599,25131, Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers
600,25132," Manufacture of nuclear reactors, except isotope separators"
601,25133," Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators)"
602,25139," Manufacture of other steam generators (except central heating hot water boilers), n.e.c."
603,25200, Manufacture of weapons and ammunition
604,25910," Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
605,25920, Machining; treatment and coating of metals
606,25931," Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers, razors, razor blades, scissors, hair clippers etc."
607,25932, Manufacture of hand tools (non-power-driven) for agricultural/horticulture/ forestry
608,25933," Manufacture of hand tools such as pliers, screwdrivers, press tools, blacksmithsâ€™ tools, drills, punches, milling cutters etc."
609,25934," Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc."
610,25939," Manufacture of general hardware (saws and sawblades, including circular sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)"
611,25991," Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)"
612,25992, Manufacture of containers such as tins and cans for food products and boxes
613,25993, Manufacture of metal cable and other articles made of wire (except for electric transmission)
614,25994," Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)"
615,25995," Manufacture of metal sanitaryware such as baths, sinks, washbasins and similar articles"
616,25996," Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes"
617,25999, Manufacture of other fabricated metal products n.e.c.
618,26101," Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components"
619,26102," Manufacture of electron tubes, diodes, transistors and related discrete devices"
620,26103," Manufacture of integrated circuits (analog, digital or hybrid)"
621,26104," Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)"
622,26105," Manufacture of display components (plasma, polymer, LCD, LED)"
623,26106," Manufacture of printer cables, monitor cables, USB cables, connectors etc."
624,26107, Manufacture of microprocessors
625,26109, Manufacture of other electronic components n.e.c
626,26201," Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers"
627,26202," Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices"
628,26203," Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc."
629,26204," Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)"
630,26205," Manufacture of computer terminals, like automatic teller machines (ATMâ€™s), point-of-sale (POS) terminals not mechanically operated"
631,26209, Manufacture of computers and peripheral equipment n.e.c.
632,26301," Manufacture of radio and television studio and broadcasting equipment, including television cameras"
633,26302," Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX"
634,26303," Manufacture of data communications equipment, such as bridges, routers, and gateways"
635,26304," Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT"
636,26305," Manufacture of pagers, cellular phones and other mobile communication equipment"
637,26309, Manufacture of other communication equipments n.e.c.
638,26401," Manufacture of televisions, television monitors and displays"
639,26402, Manufacture video cassette recorders and duplicating equipment
640,26403, Manufacture of audio recording and duplicating systems
641,26404, Manufacture of radio receivers
642,26405," Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)"
643,26406, Manufacture of CD and DVD players
644,26409, Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera)
645,26511, Manufacture of physical properties testing and inspection equipment
646,26512, Manufacture of automotive emissions testing equipment
647,26513," Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters"
648,26514, Manufacture of meteorological instruments
649,26515," Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment"
650,26516," Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc."
651,26517, Manufacture of industrial process control equipment
652,26519, Manufacture of other measuring n.e.c.
653,26521," Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment)"
654,26522," Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals"
655,26523," Manufacture of time-recording equipments such as time-clock, parking meters etc."
656,26529, Manufacture of other watches and clocks n.e.c.
657,26600," Manufacture of irradiation, electromedical and electrotherapeutic equipment"
658,26700, Manufacture of optical instruments and equipment
659,26800, Manufacture of magnetic and optical media
660,27101," Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)"
661,27102," Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators"
662,27103, Manufacture of electric motors (except internal combustion engine starting motors)
663,27104," Manufacture of electricitydistributionand controlapparatus(electrical apparatus for switchingorprotectingelectricalcircuits(e.g.switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)"
664,27201," Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material"
665,27202," Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)"
666,27310, Manufacture of fibre optic cables for data transmission or live transmission of images
667,27320," Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
668,27331," Manufacture of switch, switch box, lamp holders, lugs etc."
669,27339, Manufacture of other wiring devices and fittings n.e.c.
670,27400, Manufacture of electric lighting equipment
671,27501," Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc."
672,27502," Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc"
673,27503, Manufacture of electric fans (except exhaust fans)
674,27504," Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers"
675,27509, Manufacture of other domestic appliances n.e.c.
676,27900, Manufacture of other electrical equipment
677,28110," Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
678,28120, Manufacture of fluid power equipment
679,28131, Manufacture of hand pumps
680,28132," Manufacture of other pumps, compressors, taps and valves etc."
681,28140," Manufacture of bearings, gears, gearing and driving elements"
682,28150," Manufacture of ovens, furnaces and furnace burners"
683,28161," Manufacture of lifts, escalators and moving walkways"
684,28162, Manufacture of other lifting and handling equipment and parts thereof
685,28170, Manufacture of office machinery and equipment
686,28180, Manufacture of power-driven hand tools
687,28191," Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major components"
688,28192," Manufacture of air-conditioning machines, including motor vehicles air- conditioners"
689,28193," Manufacture of fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc."
690,28194, Manufacture of weighing machinery (other than sensitive laboratory balances)
691,28195, Manufacture of filtering and purifying machinery or apparatus for liquids and gases
692,28199," Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines other than for metals or glass; gaskets and similar joints made of a combination of materials or layers of the same material and other general purpose machinery including manufacture of parts and accessories for general purpose machinery and equipment.)"
693,28211, Manufacture of tractors used in agriculture and forestry
694,28212," Manufacture of ploughs, manure spreaders, seeders, harrows and similar agricultural machinery for soil preparation, planting or fertilizing, harvesting or threshing machinery"
695,28213, Manufacture of spraying machinery for agricultural use
696,28219, Manufacture of other agricultural and forestry machinery n.e.c.
697,28221," Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc."
698,28222, Manufacture of electroplating machinery
699,28223, Manufacture of parts and accessories for the machine tools listed above
700,28229, Manufacture of metal-forming machinery and machine tools n.e.c
701,28230, Manufacture of machinery for metallurgy
702,28241, Manufacture of continuous-action elevators and conveyors for underground use
703,28242," Manufacture of boring, cutting, sinking and tunnelling machinery (whether or not for underground use)"
704,28243," Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders, off-road dumping trucks etc.)"
705,28244, Manufacture of tracklaying tractors and tractors used in construction or mining
706,28245," Manufacture of concrete and mortar mixers, piledrivers and pile-extractors, mortar spreaders, bitumen spreaders, concrete surfacing machinery"
707,28246, Manufacture of parts and accessories for machinery/equipment used by construction and mining industries
708,28249," Manufacture of other machinery for mining, quarrying and construction n.e.c."
709,28251, Manufacture of machinery for the dairy industry
710,28252, Manufacture of machinery for the grain milling industry
711,28253," Manufacture of presses, crushers etc. used to make wine, cider, fruit juices etc."
712,28254," Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc."
713,28255, Manufacture of machinery for the extraction or preparation of animal or vegetable fats or oils
714,28256," Manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or for pipe or chewing tobacco or snuff"
715,28259, Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines)
716,28261," Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines"
717,28262, Manufacture of textile printing machinery
718,28263," Manufacture of machinery for washing, bleaching, dyeing, dressing, finishing coating or impregnating textile fabrics, machines for reeling, unreeling, folding, cutting or pinking textile fabrics, and similar machinery for fabric processing"
719,28264," Manufacture of ironing machines, commercial washing and drying machines, dry-cleaning machines and other laundry machinery"
720,28265," Manufacture of sewing machines, sewing machine heads and sewing machine needles (whether or not for household use)"
721,28266," Manufacture of machinery for preparing, tanning or working hides, skins or leather, machinery for making or repairing footwear or other articles of hides, skins, leather or fur skins"
722,28269," Manufacture of other machinery for textiles, apparel and leather production n.e.c."
723,28291," Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board"
724,28292, Manufacture of machinery for working soft rubber or plastics or for the manufacture of products of these materials
725,28293, Manufacture ofprintingandbookbindingmachinesandmachinesfor activities supporting printing on a variety of materials (other than textiles)
726,28299, Manufacture of other special-purpose machinery n.e.c.
727,29101, Manufacture of passenger cars
728,29102," Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc."
729,29103, Manufacture of chassis fitted with engines for the motor vehicles included in this class
730,29104, Manufacture of motor vehicle engines
731,29109, Manufacture of motor vehicles n.e.c.
732,29201," Manufacture of bodies, including cabs for motor vehicles"
733,29202, Manufacture oftrailersandsemi-trailersfor transportof goodsor passengers
734,29209, Manufacture of other attachments to motor vehicles n.e.c.
735,29301," Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc."
736,29302," Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors, bumpers"
737,29303, Manufacture of car seats
738,29304," Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators, etc."
739,30111," Building of commercial vessels: passenger vessels, ferry-boats, cargo ships, tankers, tugs, hovercraft (except recreation-type hovercraft) etc."
740,30112, Building of warships and scientific investigation ships etc.
741,30113, Building of fishing boats and fish-processing factory vessels
742,30114, Construction of floating or submersible drilling platforms
743,30115," Construction of floating structures ( floating docks, pontoons, coffer-dams, floating landing stages, buoys, floating tanks, barges, lighters, floating cranes, non-recreational inflatable rafts etc.)"
744,30120, Building of pleasure and sporting boats
745,30201," Manufacture of electric, diesel, steam and other rail locomotives"
746,30202," Manufacture of self-propelled railway or tramway coaches, vans and trucks, maintenance or service vehicles"
747,30203," Manufacture of railway or tramway rolling stock, not self-propelled (passenger coaches, goods vans tank wagons, self-discharging vans and wagons, workshop vans, crane vans, tenders etc."
748,30204," Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks and coupling devices, buffers and buffer parts; shock absorbers; wagon and locomotive frames; bodies; corridor connections etc.)"
749,30205," Manufacture of mechanical and electro-mechanical signalling safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
750,30206, Manufacture of mining locomotives and mining rail cars
751,30301, Manufacture of airplanes
752,30302, Manufacture of helicopters
753,30303," Manufacture of gliders, hang-gliders, dirigibles and hot air balloons and other non-powered aircraft"
754,30304," Manufacture of spacecraft and launch vehicles, satellites, planetary probes, orbital stations, shuttles, intercontinental ballistic (ICBM) and similar missiles"
755,30305," Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, helicopter rotors and propelled rotor blades, motors and engines of a kind typically found on aircraft, parts of turbojets and turbopropellers for aircraft, aircraft seats etc. and other specialised parts of spacecraft)"
756,30400, Manufacture of weapons and ammunition
757,30911," Manufacture of motorcycles, scooters, mopeds etc. and their engine"
758,30912, Manufacture of three-wheelers and their engine
759,30913, Manufacture of parts and accessories of three wheelers and motorcycles including side cars
760,30921," Manufacture of non-motorized bicycles and other cycles, including cycle- rickshaws, (delivery) tricycles, tandems, childrenâ€™s bicycles and tricycles, baby carriages"
761,30922, Manufacture of invalid carriages with or without motor
762,30923," Manufacture of parts and accessories for bicycles, cycle -rickshaws and invalid carriages"
763,30991, Manufacture of vehicles drawn by animals
764,30999," Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc"
765,31001, Manufacture of furniture made of wood
766,31002, Manufacture of furniture made of cane & reed
767,31003, Manufacture of furniture primarily of metal
768,31004, Manufacture of furniture primarily of plastic
769,31005, Manufacture of mattresses and pillows
770,31009, Manufacture of other furniture n.e.c.
771,32111," Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
772,32112, Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones
773,32113, Production of worked pearls
774,32114," Manufacture of coins, including coins for use as legal tender, whether or not of precious metal"
775,32119," Manufacture of other articles of gold, silver and other precious and semi precious metal and stone"
776,32120, Manufacture of imitation jewellery and related articles
777,32201, Manufacture of stringed instruments (non-electronic)
778,32202," Manufacture of wind instruments, accordions, harmonium and similar instruments and mouth organs"
779,32203, Manufacture of percussion musical instruments
780,32204," Manufacture of musical instruments, the sound of which is produced electronically"
781,32209, Manufacture of other musical instruments n.e.c.
782,32300, Manufacture of sports goods
783,32401, Manufacture of dolls and toy animals
784,32402," Manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles"
785,32403," Manufacture of pin-tables, coin-operated games, billiards, special tables for casino games, etc."
786,32404, Manufacture of playing cards
787,32405, Manufacture of electronic games
788,32409, Manufacture of other games and toys n.e.c.
789,32501," Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental instruments, artificial teeth, bridges, etc., made in dental labs"
790,32502," Manufacture of laboratory apparatus (laboratory ultrasonic cleaning machinery, laboratory sterilizers, laboratory type distilling apparatus, laboratory centrifuges etc.)"
791,32503," Manufacture of medical, surgical, dental or veterinary furniture such as operating tables, examination tables, dentistsâ€™ chairs etc."
792,32504," Manufacture of bone plates and screws, syringes, needles, catheters, cannulae, etc."
793,32505, Manufacture of measuring instruments suc as thermometers etc.
794,32506, Manufacture of orthopedic and prosthetic devices
795,32507," Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles etc."
796,32509, Manufacture of other medical and dental instruments n.e.c.
797,32901," Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand printing sets, prepared typewriter ribbons and inked pads, globes etc."
798,32902," Manufacture of protective safety equipment (fire-resistant and protective safety clothing, linemenâ€™s safety belts and other belts for occupational use, cork life preservers, plastics hard hats and other personal safety equipment of plastics, fire-fighting protection suits, metal safety headgear and other metal personal safety devices, gas masks etc.)"
799,32903," Manufacture of umbrellas, sun-umbrellas, walking sticks, seat-stick"
800,32904," Manufacture of articles of personal use such as cigarette lighters, smoking pipes, combs, hair slides, scent sprays, vacuum flasks and other vacuum vessels for personal or household use, wigs, false beards, eyebrows etc."
801,32909, Manufacture of other articles n.e.c.
802,33111, Repair and maintenance of structural products
803,33112, Repair and maintenance of pipes and pipelines
804,33113," Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc."
805,33114," Repair and maintenance of steam or other vapour generators and auxiliary plant for use with steam generators such as condensers, economizers, superheaters, steam collectors and accumulators"
806,33119, Repair and maintenance of other fabricated metal products
807,33121," Repair and maintenance of engines and turbines excluding aircraft, vehicle and cycle engines"
808,33122," Repair and maintenance of pumps and related equipment, fluid power equipment, valves"
809,33123," Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools and other machine tools"
810,33124, Repair and maintenance of agricultural machinery and forestry and logging machinery including agricultural tractors
811,33125," Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery"
812,33126," Repair and maintenance of food, beverage, and tobacco processing machinery"
813,33127," Repair and maintenance of textile apparel, leather production machinery and papermaking machinery"
814,33129, Repair and maintenance of other special purpose machinery of division
815,33131," Repair and maintenance of measuring, testing, navigating and control equipment of group 265"
816,33132," Repair and maintenance of irradiation, electromedical and electro theraputic equipmemts of class 2660"
817,33133, Repair and maintenance of optical instruments and equipment of class
818,33140, Repair of electrical equipment
819,33150," Repair of transport equipment, except motor vehicles"
820,33190, Repair of other equipment
821,33200, Installation of industrial machinery and equipment
822,35101, Electric power generation by hydroelectric power plants
823,35102, Electric power generation by coal based thermal power plants
824,35103," Electric power generation by non-coal based thermal (e.g. diesel, gas )"
